customer_id,gender,date,value,predicted_gender
1000,0,2017-01-01 00:11:31,198.5,1
1001,0,2017-01-01 00:29:56,338.0,1
1002,1,2017-01-01 01:30:31,733.0,1
1003,1,2017-01-01 01:34:22,772.0,1
1004,0,2017-01-01 03:11:54,508.0,1
1005,1,2017-01-01 10:08:05,338.0,0
1006,1,2017-01-01 15:42:57,1526.43,1
1007,0,2017-01-01 15:59:50,168.0,0
1008,0,2017-01-01 18:01:04,207.99,0
1009,1,2017-01-01 19:27:17,283.0,1
1010,1,2017-01-01 19:41:40,1018.0,1
1011,1,2017-01-01 22:04:54,596.0,1
1012,1,2017-01-01 22:08:16,151.0,0
1013,0,2017-01-01 23:51:58,78.0,0
1014,1,2017-01-02 00:28:42,98.5,1
1015,0,2017-01-02 01:20:53,255.0,0
1016,1,2017-01-02 01:24:13,311.39,0
1017,0,2017-01-02 01:42:44,1000.0,0
1018,0,2017-01-02 01:52:59,274.6,0
1017,0,2017-01-02 02:08:52,186.0,0
1019,0,2017-01-02 02:17:03,350.2,1
1020,0,2017-01-02 02:45:09,456.0,1
1021,1,2017-01-02 03:18:18,421.56,1
1022,0,2017-01-02 03:36:59,304.3,0
1023,0,2017-01-02 04:07:51,10.0,1
1024,1,2017-01-02 05:19:48,747.5,1
1025,0,2017-01-02 05:19:49,301.6,1
1026,0,2017-01-02 14:52:06,316.89,0
1027,0,2017-01-02 15:49:44,10.0,1
1028,0,2017-01-02 16:41:13,161.5,1
1029,0,2017-01-02 17:01:25,166.0,0
1030,0,2017-01-02 17:37:26,89.0,0
1031,0,2017-01-02 17:57:04,226.0,1
1032,1,2017-01-02 18:23:06,434.0,1
1033,0,2017-01-02 18:54:17,111.49,1
1034,1,2017-01-02 19:33:40,89.0,1
1035,0,2017-01-02 20:01:31,10.0,1
1036,0,2017-01-02 20:36:49,447.85,1
1037,0,2017-01-02 21:06:35,499.0,1
1038,1,2017-01-02 21:29:41,930.0,1
1039,0,2017-01-02 22:49:09,295.36,1
1040,0,2017-01-02 22:54:55,247.0,0
1041,0,2017-01-02 23:25:26,233.2,0
1042,0,2017-01-02 23:57:53,486.0,1
1043,1,2017-01-03 01:02:01,229.74,1
1044,1,2017-01-03 01:47:44,302.89,1
1045,0,2017-01-03 02:13:49,432.0,0
1046,0,2017-01-03 03:54:06,10.0,1
1047,1,2017-01-03 05:22:02,144.0,1
1048,0,2017-01-03 11:24:25,612.0,0
1049,0,2017-01-03 14:32:13,392.0,1
1050,1,2017-01-03 15:27:29,169.0,1
1051,0,2017-01-03 16:47:01,313.0,0
1052,1,2017-01-03 17:29:33,307.14,1
1053,0,2017-01-03 17:32:34,298.0,0
1054,1,2017-01-03 19:01:18,308.0,1
1055,1,2017-01-03 19:18:56,251.94,1
1008,0,2017-01-03 19:23:39,121.98,0
1056,0,2017-01-03 19:40:04,270.01,1
1057,1,2017-01-03 19:45:37,184.08,1
1058,0,2017-01-03 20:07:26,216.0,0
1059,1,2017-01-03 20:38:51,200.0,1
1060,0,2017-01-03 20:41:00,79.0,1
1061,1,2017-01-03 21:06:06,254.22,1
1060,0,2017-01-03 21:14:09,140.45,1
1062,0,2017-01-03 21:29:33,146.0,0
1063,1,2017-01-03 21:43:48,312.0,1
1064,1,2017-01-03 21:49:20,144.0,1
1065,0,2017-01-03 22:15:57,150.0,1
1066,1,2017-01-03 22:17:59,89.0,1
1067,1,2017-01-03 22:32:19,406.9,1
1068,0,2017-01-03 22:53:18,298.0,1
1069,1,2017-01-03 23:09:11,108.0,1
1070,0,2017-01-03 23:52:55,338.0,0
1071,1,2017-01-04 00:50:01,492.0,1
1072,0,2017-01-04 01:07:03,150.25,1
1073,0,2017-01-04 01:16:54,357.61,1
1074,1,2017-01-04 02:28:21,258.0,1
1075,1,2017-01-04 02:36:35,270.01,1
1076,0,2017-01-04 02:47:15,166.0,1
1077,0,2017-01-04 03:12:43,1188.5,0
1078,1,2017-01-04 03:36:39,246.06,1
1079,0,2017-01-04 03:44:32,1476.0,0
1080,0,2017-01-04 03:47:01,10.86,1
1081,0,2017-01-04 04:34:23,298.0,1
1082,0,2017-01-04 05:32:21,0.0,0
1083,0,2017-01-04 10:49:08,267.4,0
1084,1,2017-01-04 12:02:50,863.0,1
1085,1,2017-01-04 12:47:41,10.0,1
1086,1,2017-01-04 13:56:55,0.0,1
1087,0,2017-01-04 15:49:28,268.0,0
1088,0,2017-01-04 16:20:46,50.0,0
1089,0,2017-01-04 16:36:01,388.0,0
1090,0,2017-01-04 19:15:46,98.2,0
1091,0,2017-01-04 19:20:34,118.0,1
1092,0,2017-01-04 19:39:58,346.5,0
1093,1,2017-01-04 19:50:25,146.0,1
1094,1,2017-01-04 20:59:11,280.9,0
1095,1,2017-01-04 21:21:52,356.0,1
1096,0,2017-01-04 21:56:26,629.2,0
1097,0,2017-01-04 23:04:30,1928.93,1
1098,0,2017-01-04 23:47:38,58.0,1
1099,0,2017-01-05 00:55:53,397.9,0
1100,0,2017-01-05 01:06:23,10.89,1
1101,1,2017-01-05 02:50:21,231.4,1
1102,0,2017-01-05 03:02:40,292.0,0
